term_id,term_name,source,p_value
GO:0060255,regulation of macromolecule metabolic process,GO:BP,1.07806465968604e-10
GO:0070887,cellular response to chemical stimulus,GO:BP,1.6206093644582383e-10
GO:0019222,regulation of metabolic process,GO:BP,3.391432899288546e-10
GO:0051171,regulation of nitrogen compound metabolic process,GO:BP,6.991785200511254e-10
GO:0010604,positive regulation of macromolecule metabolic process,GO:BP,1.062478144831818e-9
GO:0080090,regulation of primary metabolic process,GO:BP,2.1506130881302924e-9
GO:0009893,positive regulation of metabolic process,GO:BP,2.3764058645949492e-9
GO:0006950,response to stress,GO:BP,8.659319611354913e-9
GO:0050896,response to stimulus,GO:BP,8.993151417922147e-9
GO:0033554,cellular response to stress,GO:BP,1.316378472175767e-8
GO:0048519,negative regulation of biological process,GO:BP,1.4016499538620006e-8
GO:0048523,negative regulation of cellular process,GO:BP,3.994096074085858e-8
GO:0031323,regulation of cellular metabolic process,GO:BP,9.349038851024856e-8
GO:0048518,positive regulation of biological process,GO:BP,1.0344098691142334e-7
GO:0010033,response to organic substance,GO:BP,1.1380562042475037e-7
GO:0009891,positive regulation of biosynthetic process,GO:BP,1.3908239880219935e-7
GO:0010557,positive regulation of macromolecule biosynthetic process,GO:BP,1.7091586292386095e-7
GO:0031328,positive regulation of cellular biosynthetic process,GO:BP,2.6085440594641644e-7
GO:0051716,cellular response to stimulus,GO:BP,3.9987876501452976e-7
GO:0042221,response to chemical,GO:BP,5.971549482129579e-7
GO:0030097,hemopoiesis,GO:BP,6.961637163475098e-7
GO:0031325,positive regulation of cellular metabolic process,GO:BP,7.332240853303042e-7
GO:0048522,positive regulation of cellular process,GO:BP,7.773908321571945e-7
GO:0006915,apoptotic process,GO:BP,8.437765490357906e-7
GO:0051173,positive regulation of nitrogen compound metabolic process,GO:BP,9.68902997750092e-7
GO:0008283,cell population proliferation,GO:BP,1.7891314180950955e-6
GO:0012501,programmed cell death,GO:BP,3.2963235249555623e-6
GO:0008219,cell death,GO:BP,3.5509776392443625e-6
GO:0071310,cellular response to organic substance,GO:BP,7.127402534058157e-6
GO:0032502,developmental process,GO:BP,1.0460430435649378e-5
GO:0034097,response to cytokine,GO:BP,1.2793484503235733e-5
GO:0050789,regulation of biological process,GO:BP,1.8210524077879713e-5
GO:0065007,biological regulation,GO:BP,2.4674945688090602e-5
GO:0002682,regulation of immune system process,GO:BP,3.135926646117527e-5
GO:0042981,regulation of apoptotic process,GO:BP,3.3397537121129684e-5
GO:0045595,regulation of cell differentiation,GO:BP,3.930421843092257e-5
GO:0042127,regulation of cell population proliferation,GO:BP,3.953723135139106e-5
GO:0009889,regulation of biosynthetic process,GO:BP,4.7943120663966684e-5
GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:BP,6.29698309164944e-5
GO:0051246,regulation of protein metabolic process,GO:BP,6.883987762930924e-5
GO:0031326,regulation of cellular biosynthetic process,GO:BP,7.125994559456283e-5
GO:0050793,regulation of developmental process,GO:BP,7.535303324383818e-5
GO:0043067,regulation of programmed cell death,GO:BP,7.891882062969418e-5
GO:0010556,regulation of macromolecule biosynthetic process,GO:BP,8.249262915708419e-5
GO:0009892,negative regulation of metabolic process,GO:BP,9.90657133606434e-5
GO:0031324,negative regulation of cellular metabolic process,GO:BP,1.3325158249684593e-4
GO:0071345,cellular response to cytokine stimulus,GO:BP,1.4794816436269518e-4
GO:0006259,DNA metabolic process,GO:BP,1.9521686741378545e-4
GO:0010628,positive regulation of gene expression,GO:BP,1.9575161363313378e-4
GO:0030154,cell differentiation,GO:BP,2.0701724659009542e-4
GO:0048869,cellular developmental process,GO:BP,2.0930775965693647e-4
